,E61_WT_500uM,E61_WT_500uM,E61_WT_10uM,E61_WT_10uM,E61_WT_DMSO,E61_WT_DMSO,E61_WT_Control,E61_WT_Control
,time,counts,time,counts,time,counts,time,counts
92,0 days 15:20:00,337,0 days 15:20:00,368,0 days 15:20:00,247,0 days 15:20:00,236
93,0 days 15:30:00,336,0 days 15:30:00,361,0 days 15:30:00,255,0 days 15:30:00,230
94,0 days 15:40:00,327,0 days 15:40:00,371,0 days 15:40:00,256,0 days 15:40:00,223
95,0 days 15:50:00,341,0 days 15:50:00,373,0 days 15:50:00,243,0 days 15:50:00,216
96,0 days 16:00:00,341,0 days 16:00:00,376,0 days 16:00:00,252,0 days 16:00:00,228
97,0 days 16:10:00,338,0 days 16:10:00,373,0 days 16:10:00,246,0 days 16:10:00,232
98,0 days 16:20:00,342,0 days 16:20:00,378,0 days 16:20:00,247,0 days 16:20:00,221
99,0 days 16:30:00,336,0 days 16:30:00,382,0 days 16:30:00,239,0 days 16:30:00,243
100,0 days 16:40:00,341,0 days 16:40:00,373,0 days 16:40:00,247,0 days 16:40:00,232
101,0 days 16:50:00,344,0 days 16:50:00,383,0 days 16:50:00,251,0 days 16:50:00,234
102,0 days 17:00:00,345,0 days 17:00:00,384,0 days 17:00:00,244,0 days 17:00:00,230
103,0 days 17:10:00,348,0 days 17:10:00,385,0 days 17:10:00,248,0 days 17:10:00,238
104,0 days 17:20:00,347,0 days 17:20:00,386,0 days 17:20:00,242,0 days 17:20:00,229
105,0 days 17:30:00,345,0 days 17:30:00,376,0 days 17:30:00,249,0 days 17:30:00,239
106,0 days 17:40:00,337,0 days 17:40:00,389,0 days 17:40:00,253,0 days 17:40:00,234
107,0 days 17:50:00,332,0 days 17:50:00,379,0 days 17:50:00,238,0 days 17:50:00,228
108,0 days 18:00:00,345,0 days 18:00:00,391,0 days 18:00:00,250,0 days 18:00:00,239
109,0 days 18:10:00,346,0 days 18:10:00,382,0 days 18:10:00,242,0 days 18:10:00,237
110,0 days 18:20:00,345,0 days 18:20:00,389,0 days 18:20:00,245,0 days 18:20:00,228
111,0 days 18:30:00,341,0 days 18:30:00,404,0 days 18:30:00,253,0 days 18:30:00,236
112,0 days 18:40:00,363,0 days 18:40:00,396,0 days 18:40:00,252,0 days 18:40:00,238
113,0 days 18:50:00,339,0 days 18:50:00,411,0 days 18:50:00,250,0 days 18:50:00,245
114,0 days 19:00:00,340,0 days 19:00:00,410,0 days 19:00:00,247,0 days 19:00:00,243
115,0 days 19:10:00,341,0 days 19:10:00,413,0 days 19:10:00,254,0 days 19:10:00,247
116,0 days 19:20:00,349,0 days 19:20:00,405,0 days 19:20:00,250,0 days 19:20:00,237
117,0 days 19:30:00,346,0 days 19:30:00,398,0 days 19:30:00,257,0 days 19:30:00,240
118,0 days 19:40:00,342,0 days 19:40:00,408,0 days 19:40:00,251,0 days 19:40:00,241
119,0 days 19:50:00,352,0 days 19:50:00,413,0 days 19:50:00,256,0 days 19:50:00,247
120,0 days 20:00:00,350,0 days 20:00:00,407,0 days 20:00:00,261,0 days 20:00:00,254
121,0 days 20:10:00,354,0 days 20:10:00,412,0 days 20:10:00,260,0 days 20:10:00,246
122,0 days 20:20:00,348,0 days 20:20:00,416,0 days 20:20:00,260,0 days 20:20:00,239
123,0 days 20:30:00,361,0 days 20:30:00,408,0 days 20:30:00,254,0 days 20:30:00,238
