,E61_WT_500uM,E61_WT_500uM,E61_WT_10uM,E61_WT_10uM,E61_WT_DMSO,E61_WT_DMSO,E61_WT_Control,E61_WT_Control
,time,counts,time,counts,time,counts,time,counts
546,3 days 19:00:00,479,3 days 19:00:00,838,3 days 19:00:00,801,3 days 19:00:00,728
547,3 days 19:10:00,479,3 days 19:10:00,835,3 days 19:10:00,806,3 days 19:10:00,728
548,3 days 19:20:00,481,3 days 19:20:00,825,3 days 19:20:00,818,3 days 19:20:00,716
549,3 days 19:30:00,486,3 days 19:30:00,824,3 days 19:30:00,821,3 days 19:30:00,718
550,3 days 19:40:00,484,3 days 19:40:00,832,3 days 19:40:00,805,3 days 19:40:00,726
551,3 days 19:50:00,473,3 days 19:50:00,809,3 days 19:50:00,821,3 days 19:50:00,740
552,3 days 20:00:00,496,3 days 20:00:00,813,3 days 20:00:00,818,3 days 20:00:00,731
553,3 days 20:10:00,500,3 days 20:10:00,828,3 days 20:10:00,810,3 days 20:10:00,748
554,3 days 20:20:00,487,3 days 20:20:00,830,3 days 20:20:00,829,3 days 20:20:00,746
555,3 days 20:30:00,493,3 days 20:30:00,838,3 days 20:30:00,832,3 days 20:30:00,753
556,3 days 20:40:00,494,3 days 20:40:00,828,3 days 20:40:00,847,3 days 20:40:00,746
557,3 days 20:50:00,488,3 days 20:50:00,834,3 days 20:50:00,840,3 days 20:50:00,755
558,3 days 21:00:00,506,3 days 21:00:00,838,3 days 21:00:00,846,3 days 21:00:00,763
559,3 days 21:10:00,490,3 days 21:10:00,842,3 days 21:10:00,841,3 days 21:10:00,749
560,3 days 21:20:00,490,3 days 21:20:00,834,3 days 21:20:00,847,3 days 21:20:00,754
561,3 days 21:30:00,486,3 days 21:30:00,840,3 days 21:30:00,836,3 days 21:30:00,762
562,3 days 21:40:00,501,3 days 21:40:00,839,3 days 21:40:00,840,3 days 21:40:00,768
563,3 days 21:50:00,487,3 days 21:50:00,836,3 days 21:50:00,856,3 days 21:50:00,757
564,3 days 22:00:00,494,3 days 22:00:00,832,3 days 22:00:00,839,3 days 22:00:00,764
565,3 days 22:10:00,500,3 days 22:10:00,827,3 days 22:10:00,834,3 days 22:10:00,756
566,3 days 22:20:00,491,3 days 22:20:00,824,3 days 22:20:00,848,3 days 22:20:00,758
567,3 days 22:30:00,498,3 days 22:30:00,818,3 days 22:30:00,857,3 days 22:30:00,743
568,3 days 22:40:00,475,3 days 22:40:00,831,3 days 22:40:00,871,3 days 22:40:00,761
569,3 days 22:50:00,501,3 days 22:50:00,816,3 days 22:50:00,875,3 days 22:50:00,756
570,3 days 23:00:00,500,3 days 23:00:00,819,3 days 23:00:00,865,3 days 23:00:00,754
571,3 days 23:10:00,493,3 days 23:10:00,828,3 days 23:10:00,864,3 days 23:10:00,763
572,3 days 23:20:00,494,3 days 23:20:00,819,3 days 23:20:00,867,3 days 23:20:00,764
573,3 days 23:30:00,495,3 days 23:30:00,842,3 days 23:30:00,864,3 days 23:30:00,782
574,3 days 23:40:00,499,3 days 23:40:00,839,3 days 23:40:00,856,3 days 23:40:00,779
575,3 days 23:50:00,498,3 days 23:50:00,857,3 days 23:50:00,888,3 days 23:50:00,806
576,4 days 00:00:00,490,4 days 00:00:00,842,4 days 00:00:00,872,4 days 00:00:00,777
577,4 days 00:10:00,496,4 days 00:10:00,834,4 days 00:10:00,854,4 days 00:10:00,773
578,4 days 00:20:00,490,4 days 00:20:00,846,4 days 00:20:00,877,4 days 00:20:00,778
579,4 days 00:30:00,490,4 days 00:30:00,842,4 days 00:30:00,890,4 days 00:30:00,775
580,4 days 00:40:00,500,4 days 00:40:00,857,4 days 00:40:00,897,4 days 00:40:00,790
581,4 days 00:50:00,484,4 days 00:50:00,841,4 days 00:50:00,888,4 days 00:50:00,787
582,4 days 01:00:00,495,4 days 01:00:00,864,4 days 01:00:00,908,4 days 01:00:00,797
583,4 days 01:10:00,490,4 days 01:10:00,854,4 days 01:10:00,919,4 days 01:10:00,805
584,4 days 01:20:00,489,4 days 01:20:00,846,4 days 01:20:00,923,4 days 01:20:00,810
585,4 days 01:30:00,497,4 days 01:30:00,851,4 days 01:30:00,902,4 days 01:30:00,804
586,4 days 01:40:00,482,4 days 01:40:00,852,4 days 01:40:00,893,4 days 01:40:00,777
587,4 days 01:50:00,473,4 days 01:50:00,840,4 days 01:50:00,897,4 days 01:50:00,797
588,4 days 02:00:00,476,4 days 02:00:00,841,4 days 02:00:00,893,4 days 02:00:00,818
589,4 days 02:10:00,484,4 days 02:10:00,847,4 days 02:10:00,890,4 days 02:10:00,816
590,4 days 02:20:00,485,4 days 02:20:00,854,4 days 02:20:00,910,4 days 02:20:00,801
591,4 days 02:30:00,479,4 days 02:30:00,854,4 days 02:30:00,893,4 days 02:30:00,815
592,4 days 02:40:00,482,4 days 02:40:00,854,4 days 02:40:00,905,4 days 02:40:00,812
593,4 days 02:50:00,481,4 days 02:50:00,856,4 days 02:50:00,914,4 days 02:50:00,806
594,4 days 03:00:00,472,4 days 03:00:00,855,4 days 03:00:00,911,4 days 03:00:00,813
595,4 days 03:10:00,478,4 days 03:10:00,855,4 days 03:10:00,924,4 days 03:10:00,812
596,4 days 03:20:00,489,4 days 03:20:00,849,4 days 03:20:00,912,4 days 03:20:00,816
597,4 days 03:30:00,485,4 days 03:30:00,841,4 days 03:30:00,931,4 days 03:30:00,811
598,4 days 03:40:00,490,4 days 03:40:00,864,4 days 03:40:00,926,4 days 03:40:00,818
599,4 days 03:50:00,478,4 days 03:50:00,858,4 days 03:50:00,916,4 days 03:50:00,819
600,4 days 04:00:00,483,4 days 04:00:00,865,4 days 04:00:00,939,4 days 04:00:00,838
601,4 days 04:10:00,492,4 days 04:10:00,867,4 days 04:10:00,943,4 days 04:10:00,839
602,4 days 04:20:00,482,4 days 04:20:00,862,4 days 04:20:00,933,4 days 04:20:00,839
603,4 days 04:30:00,489,4 days 04:30:00,871,4 days 04:30:00,937,4 days 04:30:00,836
604,4 days 04:40:00,490,4 days 04:40:00,862,4 days 04:40:00,953,4 days 04:40:00,844
605,4 days 04:50:00,492,4 days 04:50:00,878,4 days 04:50:00,962,4 days 04:50:00,861
606,4 days 05:00:00,497,4 days 05:00:00,859,4 days 05:00:00,953,4 days 05:00:00,843
607,4 days 05:10:00,496,4 days 05:10:00,861,4 days 05:10:00,956,4 days 05:10:00,839
608,4 days 05:20:00,482,4 days 05:20:00,864,4 days 05:20:00,962,4 days 05:20:00,865
609,4 days 05:30:00,499,4 days 05:30:00,873,4 days 05:30:00,970,4 days 05:30:00,853
610,4 days 05:40:00,494,4 days 05:40:00,875,4 days 05:40:00,973,4 days 05:40:00,833
611,4 days 05:50:00,508,4 days 05:50:00,872,4 days 05:50:00,964,4 days 05:50:00,853
612,4 days 06:00:00,486,4 days 06:00:00,871,4 days 06:00:00,972,4 days 06:00:00,849
613,4 days 06:10:00,484,4 days 06:10:00,857,4 days 06:10:00,965,4 days 06:10:00,846
614,4 days 06:20:00,483,4 days 06:20:00,873,4 days 06:20:00,977,4 days 06:20:00,835
615,4 days 06:30:00,495,4 days 06:30:00,865,4 days 06:30:00,983,4 days 06:30:00,838
616,4 days 06:40:00,486,4 days 06:40:00,869,4 days 06:40:00,1000,4 days 06:40:00,861
617,4 days 06:50:00,482,4 days 06:50:00,875,4 days 06:50:00,989,4 days 06:50:00,886
618,4 days 07:00:00,482,4 days 07:00:00,873,4 days 07:00:00,983,4 days 07:00:00,870
619,4 days 07:10:00,477,4 days 07:10:00,867,4 days 07:10:00,987,4 days 07:10:00,869
620,4 days 07:20:00,471,4 days 07:20:00,864,4 days 07:20:00,972,4 days 07:20:00,881
621,4 days 07:30:00,489,4 days 07:30:00,870,4 days 07:30:00,997,4 days 07:30:00,882
622,4 days 07:40:00,486,4 days 07:40:00,865,4 days 07:40:00,981,4 days 07:40:00,885
623,4 days 07:50:00,492,4 days 07:50:00,879,4 days 07:50:00,977,4 days 07:50:00,895
624,4 days 08:00:00,497,4 days 08:00:00,875,4 days 08:00:00,999,4 days 08:00:00,878
625,4 days 08:10:00,488,4 days 08:10:00,872,4 days 08:10:00,991,4 days 08:10:00,888
626,4 days 08:20:00,482,4 days 08:20:00,879,4 days 08:20:00,997,4 days 08:20:00,891
627,4 days 08:30:00,488,4 days 08:30:00,881,4 days 08:30:00,994,4 days 08:30:00,907
628,4 days 08:40:00,480,4 days 08:40:00,877,4 days 08:40:00,999,4 days 08:40:00,898
629,4 days 08:50:00,482,4 days 08:50:00,868,4 days 08:50:00,990,4 days 08:50:00,916
630,4 days 09:00:00,480,4 days 09:00:00,873,4 days 09:00:00,1024,4 days 09:00:00,904
631,4 days 09:10:00,487,4 days 09:10:00,871,4 days 09:10:00,1025,4 days 09:10:00,898
632,4 days 09:20:00,460,4 days 09:20:00,880,4 days 09:20:00,1018,4 days 09:20:00,914
633,4 days 09:30:00,469,4 days 09:30:00,863,4 days 09:30:00,1023,4 days 09:30:00,902
634,4 days 09:40:00,484,4 days 09:40:00,860,4 days 09:40:00,1010,4 days 09:40:00,904
635,4 days 09:50:00,479,4 days 09:50:00,861,4 days 09:50:00,1025,4 days 09:50:00,930
636,4 days 10:00:00,477,4 days 10:00:00,897,4 days 10:00:00,1026,4 days 10:00:00,943
637,4 days 10:10:00,480,4 days 10:10:00,897,4 days 10:10:00,1034,4 days 10:10:00,928
638,4 days 10:20:00,474,4 days 10:20:00,881,4 days 10:20:00,1036,4 days 10:20:00,954
639,4 days 10:30:00,477,4 days 10:30:00,900,4 days 10:30:00,1042,4 days 10:30:00,938
640,4 days 10:40:00,479,4 days 10:40:00,895,4 days 10:40:00,1042,4 days 10:40:00,950
641,4 days 10:50:00,482,4 days 10:50:00,874,4 days 10:50:00,1043,4 days 10:50:00,964
642,4 days 11:00:00,479,4 days 11:00:00,872,4 days 11:00:00,1049,4 days 11:00:00,940
643,4 days 11:10:00,487,4 days 11:10:00,897,4 days 11:10:00,1037,4 days 11:10:00,971
644,4 days 11:20:00,498,4 days 11:20:00,904,4 days 11:20:00,1065,4 days 11:20:00,978
645,4 days 11:30:00,495,4 days 11:30:00,931,4 days 11:30:00,1064,4 days 11:30:00,968
646,4 days 11:40:00,491,4 days 11:40:00,884,4 days 11:40:00,1070,4 days 11:40:00,969
647,4 days 11:50:00,483,4 days 11:50:00,873,4 days 11:50:00,1033,4 days 11:50:00,963
648,4 days 12:00:00,488,4 days 12:00:00,903,4 days 12:00:00,1075,4 days 12:00:00,980
649,4 days 12:10:00,500,4 days 12:10:00,906,4 days 12:10:00,1061,4 days 12:10:00,979
650,4 days 12:20:00,471,4 days 12:20:00,913,4 days 12:20:00,1064,4 days 12:20:00,1015
651,4 days 12:30:00,484,4 days 12:30:00,898,4 days 12:30:00,1072,4 days 12:30:00,999
652,4 days 12:40:00,480,4 days 12:40:00,896,4 days 12:40:00,1086,4 days 12:40:00,991
653,4 days 12:50:00,485,4 days 12:50:00,897,4 days 12:50:00,1097,4 days 12:50:00,1004
654,4 days 13:00:00,479,4 days 13:00:00,917,4 days 13:00:00,1090,4 days 13:00:00,998
655,4 days 13:10:00,488,4 days 13:10:00,884,4 days 13:10:00,1078,4 days 13:10:00,990
656,4 days 13:20:00,480,4 days 13:20:00,906,4 days 13:20:00,1098,4 days 13:20:00,1016
657,4 days 13:30:00,477,4 days 13:30:00,902,4 days 13:30:00,1104,4 days 13:30:00,1020
658,4 days 13:40:00,486,4 days 13:40:00,898,4 days 13:40:00,1086,4 days 13:40:00,1009
659,4 days 13:50:00,485,4 days 13:50:00,888,4 days 13:50:00,1101,4 days 13:50:00,996
660,4 days 14:00:00,479,4 days 14:00:00,879,4 days 14:00:00,1087,4 days 14:00:00,1015
661,4 days 14:10:00,476,4 days 14:10:00,891,4 days 14:10:00,1102,4 days 14:10:00,1016
662,4 days 14:20:00,485,4 days 14:20:00,907,4 days 14:20:00,1111,4 days 14:20:00,1013
663,4 days 14:30:00,479,4 days 14:30:00,906,4 days 14:30:00,1104,4 days 14:30:00,1033
664,4 days 14:40:00,485,4 days 14:40:00,906,4 days 14:40:00,1102,4 days 14:40:00,1060
665,4 days 14:50:00,483,4 days 14:50:00,912,4 days 14:50:00,1118,4 days 14:50:00,1050
666,4 days 15:00:00,491,4 days 15:00:00,907,4 days 15:00:00,1126,4 days 15:00:00,1069
667,4 days 15:10:00,493,4 days 15:10:00,905,4 days 15:10:00,1128,4 days 15:10:00,1047
668,4 days 15:20:00,475,4 days 15:20:00,908,4 days 15:20:00,1133,4 days 15:20:00,1037
669,4 days 15:30:00,491,4 days 15:30:00,926,4 days 15:30:00,1129,4 days 15:30:00,1081
670,4 days 15:40:00,489,4 days 15:40:00,921,4 days 15:40:00,1122,4 days 15:40:00,1064
671,4 days 15:50:00,471,4 days 15:50:00,920,4 days 15:50:00,1129,4 days 15:50:00,1083
672,4 days 16:00:00,465,4 days 16:00:00,923,4 days 16:00:00,1133,4 days 16:00:00,1071
673,4 days 16:10:00,483,4 days 16:10:00,914,4 days 16:10:00,1119,4 days 16:10:00,1076
674,4 days 16:20:00,489,4 days 16:20:00,938,4 days 16:20:00,1137,4 days 16:20:00,1094
675,4 days 16:30:00,480,4 days 16:30:00,934,4 days 16:30:00,1139,4 days 16:30:00,1063
676,4 days 16:40:00,482,4 days 16:40:00,922,4 days 16:40:00,1152,4 days 16:40:00,1073
677,4 days 16:50:00,484,4 days 16:50:00,926,4 days 16:50:00,1159,4 days 16:50:00,1089
678,4 days 17:00:00,481,4 days 17:00:00,921,4 days 17:00:00,1161,4 days 17:00:00,1096
679,4 days 17:10:00,483,4 days 17:10:00,919,4 days 17:10:00,1143,4 days 17:10:00,1103
680,4 days 17:20:00,476,4 days 17:20:00,930,4 days 17:20:00,1169,4 days 17:20:00,1101
681,4 days 17:30:00,473,4 days 17:30:00,937,4 days 17:30:00,1161,4 days 17:30:00,1117
682,4 days 17:40:00,483,4 days 17:40:00,925,4 days 17:40:00,1145,4 days 17:40:00,1122
683,4 days 17:50:00,477,4 days 17:50:00,936,4 days 17:50:00,1145,4 days 17:50:00,1105
684,4 days 18:00:00,489,4 days 18:00:00,944,4 days 18:00:00,1173,4 days 18:00:00,1115
685,4 days 18:10:00,473,4 days 18:10:00,936,4 days 18:10:00,1163,4 days 18:10:00,1094
686,4 days 18:20:00,498,4 days 18:20:00,938,4 days 18:20:00,1168,4 days 18:20:00,1121
687,4 days 18:30:00,502,4 days 18:30:00,946,4 days 18:30:00,1166,4 days 18:30:00,1118
688,4 days 18:40:00,491,4 days 18:40:00,910,4 days 18:40:00,1156,4 days 18:40:00,1108
689,4 days 18:50:00,495,4 days 18:50:00,951,4 days 18:50:00,1172,4 days 18:50:00,1131
690,4 days 19:00:00,505,4 days 19:00:00,950,4 days 19:00:00,1168,4 days 19:00:00,1132
691,4 days 19:10:00,501,4 days 19:10:00,935,4 days 19:10:00,1171,4 days 19:10:00,1121
692,4 days 19:20:00,499,4 days 19:20:00,923,4 days 19:20:00,1154,4 days 19:20:00,1142
693,4 days 19:30:00,496,4 days 19:30:00,928,4 days 19:30:00,1169,4 days 19:30:00,1142
694,4 days 19:40:00,496,4 days 19:40:00,921,4 days 19:40:00,1178,4 days 19:40:00,1143
695,4 days 19:50:00,502,4 days 19:50:00,930,4 days 19:50:00,1188,4 days 19:50:00,1142
696,4 days 20:00:00,506,4 days 20:00:00,912,4 days 20:00:00,1198,4 days 20:00:00,1157
697,4 days 20:10:00,489,4 days 20:10:00,926,4 days 20:10:00,1196,4 days 20:10:00,1135
698,4 days 20:20:00,508,4 days 20:20:00,926,4 days 20:20:00,1195,4 days 20:20:00,1137
699,4 days 20:30:00,501,4 days 20:30:00,923,4 days 20:30:00,1167,4 days 20:30:00,1172
700,4 days 20:40:00,501,4 days 20:40:00,929,4 days 20:40:00,1214,4 days 20:40:00,1153
701,4 days 20:50:00,507,4 days 20:50:00,926,4 days 20:50:00,1213,4 days 20:50:00,1141
702,4 days 21:00:00,495,4 days 21:00:00,925,4 days 21:00:00,1210,4 days 21:00:00,1154
703,4 days 21:10:00,490,4 days 21:10:00,925,4 days 21:10:00,1186,4 days 21:10:00,1167
