,E57_KO_10uM_cyto3,E57_KO_10uM_cyto3,E57_KO_500uM_cyto3,E57_KO_500uM_cyto3,E57_KO_Control_cyto3,E57_KO_Control_cyto3,E57_KO_DMSO_cyto3,E57_KO_DMSO_cyto3,E57_WT_10uM_cyto3,E57_WT_10uM_cyto3,E57_WT_500uM_cyto3,E57_WT_500uM_cyto3,E57_WT_Control_cyto3,E57_WT_Control_cyto3,E57_WT_DMSO_cyto3,E57_WT_DMSO_cyto3,E58_KO_10uM_cyto3,E58_KO_10uM_cyto3,E58_KO_500uM_cyto3,E58_KO_500uM_cyto3,E58_KO_Control_cyto3,E58_KO_Control_cyto3,E58_KO_DMSO_cyto3,E58_KO_DMSO_cyto3,E58_WT_10uM_cyto3,E58_WT_10uM_cyto3,E58_WT_500uM_cyto3,E58_WT_500uM_cyto3,E58_WT_Control_cyto3,E58_WT_Control_cyto3,E58_WT_DMSO_cyto3,E58_WT_DMSO_cyto3,E59_KO_10uM_cyto3,E59_KO_10uM_cyto3,E59_KO_500uM_cyto3,E59_KO_500uM_cyto3,E59_KO_Control_cyto3,E59_KO_Control_cyto3,E59_KO_DMSO_cyto3,E59_KO_DMSO_cyto3,E59_WT_10uM_cyto3,E59_WT_10uM_cyto3,E59_WT_500uM_cyto3,E59_WT_500uM_cyto3,E59_WT_Control_cyto3,E59_WT_Control_cyto3,E59_WT_DMSO_cyto3,E59_WT_DMSO_cyto3
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
22,1183,66.0,923,66.0,1111,66.0,441,66.0,1702,66.0,1263,66.0,1452,66.0,1448,66.0,2640.0,66.0,1405.0,66.0,2135.0,66.0,1880.0,66.0,1281.0,66.0,2571.0,66.0,1844.0,66.0,1240.0,66.0,3818.0,66.0,3114.0,66.0,3116.0,66.0,3873.0,66.0,2848.0,66.0,2122.0,66.0,2499.0,66.0,2901.0,66.0
23,1237,69.0,1009,69.0,1115,69.0,464,69.0,1743,69.0,1284,69.0,1575,69.0,1542,69.0,2708.0,69.0,1370.0,69.0,2221.0,69.0,1982.0,69.0,1401.0,69.0,2756.0,69.0,2003.0,69.0,1322.0,69.0,3884.0,69.0,3210.0,69.0,3265.0,69.0,4016.0,69.0,2905.0,69.0,2190.0,69.0,2691.0,69.0,3122.0,69.0
24,1265,72.0,982,72.0,1145,72.0,478,72.0,1844,72.0,1417,72.0,1651,72.0,1625,72.0,2783.0,72.0,1374.0,72.0,2361.0,72.0,2028.0,72.0,1446.0,72.0,2781.0,72.0,2194.0,72.0,1386.0,72.0,4068.0,72.0,3312.0,72.0,3421.0,72.0,4202.0,72.0,3052.0,72.0,2264.0,72.0,2891.0,72.0,3324.0,72.0
25,1338,75.0,1141,75.0,1185,75.0,510,75.0,1925,75.0,1366,75.0,1705,75.0,1780,75.0,2905.0,75.0,1344.0,75.0,2504.0,75.0,2128.0,75.0,1621.0,75.0,2904.0,75.0,2297.0,75.0,1523.0,75.0,4194.0,75.0,3393.0,75.0,3552.0,75.0,4490.0,75.0,3137.0,75.0,2317.0,75.0,3051.0,75.0,3555.0,75.0
26,1411,78.0,1146,78.0,1237,78.0,538,78.0,2070,78.0,1424,78.0,1903,78.0,1867,78.0,2885.0,78.0,1495.0,78.0,2601.0,78.0,2174.0,78.0,1593.0,78.0,2980.0,78.0,2497.0,78.0,1671.0,78.0,4344.0,78.0,3484.0,78.0,3866.0,78.0,4654.0,78.0,3243.0,78.0,2361.0,78.0,3262.0,78.0,3779.0,78.0
27,1434,81.0,1237,81.0,1341,81.0,553,81.0,2116,81.0,1494,81.0,1988,81.0,1967,81.0,3057.0,81.0,1399.0,81.0,2705.0,81.0,2280.0,81.0,1727.0,81.0,3171.0,81.0,2620.0,81.0,1779.0,81.0,4474.0,81.0,3586.0,81.0,4075.0,81.0,4898.0,81.0,3412.0,81.0,2439.0,81.0,3482.0,81.0,4014.0,81.0
28,1453,84.0,1332,84.0,1369,84.0,624,84.0,2185,84.0,1551,84.0,2170,84.0,2101,84.0,3178.0,84.0,1553.0,84.0,2887.0,84.0,2408.0,84.0,1782.0,84.0,3224.0,84.0,2725.0,84.0,1899.0,84.0,4640.0,84.0,3722.0,84.0,4232.0,84.0,5065.0,84.0,3466.0,84.0,2484.0,84.0,3752.0,84.0,4269.0,84.0
29,1506,87.0,1215,87.0,1406,87.0,587,87.0,2381,87.0,1546,87.0,2357,87.0,2234,87.0,3365.0,87.0,1577.0,87.0,2869.0,87.0,2516.0,87.0,1807.0,87.0,3324.0,87.0,3033.0,87.0,2008.0,87.0,4799.0,87.0,3823.0,87.0,4545.0,87.0,5308.0,87.0,3665.0,87.0,2584.0,87.0,4043.0,87.0,4673.0,87.0
30,1532,90.0,1238,90.0,1486,90.0,639,90.0,2558,90.0,1618,90.0,2497,90.0,2372,90.0,3283.0,90.0,1561.0,90.0,3062.0,90.0,2558.0,90.0,1979.0,90.0,3470.0,90.0,3357.0,90.0,2116.0,90.0,4980.0,90.0,3917.0,90.0,4712.0,90.0,5538.0,90.0,3888.0,90.0,2653.0,90.0,4281.0,90.0,4850.0,90.0
31,1618,93.0,1346,93.0,1638,93.0,632,93.0,2595,93.0,1728,93.0,2597,93.0,2549,93.0,3436.0,93.0,1600.0,93.0,3224.0,93.0,2600.0,93.0,2038.0,93.0,3530.0,93.0,3666.0,93.0,2278.0,93.0,5061.0,93.0,3995.0,93.0,4891.0,93.0,5702.0,93.0,3958.0,93.0,2788.0,93.0,4431.0,93.0,5181.0,93.0
