,Exp22_500um,Exp22_500um,Exp22_control,Exp22_control,Exp33_500um,Exp33_500um,Exp33_control,Exp33_control,Exp40_500um,Exp40_500um,Exp40_control,Exp40_control
,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type
19,34.833333333333336,-1.0,1.5,-1.0,24.998162163628468,-1.0,15.499716186523438,-1.0,12.5,-1.0,31.5,-1.0
20,58.666666666666664,-1.0,1.5,-1.0,47.996471354166665,-1.0,28.999468994140624,1.0,72.0,0.0,29.5,-1.0
21,37.0,-1.0,51.5,-1.0,24.998162163628468,-1.0,24.499551391601564,-1.0,33.5,1.0,72.0,0.0
22,37.0,-1.0,50.666666666666664,-1.0,56.49584648980034,-1.0,23.999560546875,1.0,71.5,-1.0,34.0,-1.0
23,8.333333333333334,-1.0,25.666666666666668,1.0,69.99485405815972,0.0,29.49945983886719,-1.0,72.0,0.0,72.0,0.0
24,51.0,1.0,18.833333333333332,-1.0,69.99485405815972,0.0,24.499551391601564,-1.0,72.0,0.0,47.0,-1.0
25,36.166666666666664,-1.0,43.333333333333336,1.0,69.99485405815972,0.0,29.49945983886719,-1.0,72.0,0.0,24.5,-1.0
26,36.166666666666664,-1.0,1.5,-1.0,16.998750271267358,-1.0,4.999908447265625,-1.0,72.0,0.0,24.5,-1.0
27,,,1.5,-1.0,52.496140543619795,-1.0,28.499478149414063,-1.0,72.0,0.0,23.5,-1.0
28,,,95.83333333333333,0.0,52.496140543619795,-1.0,40.99924926757812,-1.0,72.0,0.0,26.0,1.0
29,,,25.333333333333332,-1.0,69.99485405815972,0.0,40.99924926757812,-1.0,10.5,-1.0,21.5,-1.0
30,,,24.666666666666668,1.0,14.998897298177083,-1.0,18.499661254882813,-1.0,61.0,-1.0,48.0,-1.0
31,,,36.166666666666664,1.0,54.495993516710065,-1.0,50.99906616210937,-1.0,61.0,-1.0,21.5,-1.0
32,,,8.833333333333334,-1.0,54.495993516710065,-1.0,28.999468994140624,1.0,72.0,0.0,9.5,-1.0
33,,,8.833333333333334,-1.0,13.998970811631944,-1.0,21.499606323242187,-1.0,10.5,-1.0,34.0,1.0
34,,,45.166666666666664,-1.0,29.497831353081597,1.0,21.499606323242187,-1.0,61.0,-1.0,26.0,1.0
35,,,38.166666666666664,1.0,25.498125406901035,-1.0,69.99871826171875,0.0,61.0,-1.0,1.0,-1.0
36,,,31.666666666666668,-1.0,25.498125406901035,-1.0,6.499880981445313,-1.0,66.5,-1.0,1.0,-1.0
37,,,31.666666666666668,-1.0,55.4959200032552,-1.0,62.998846435546874,-1.0,72.0,0.0,25.0,1.0
38,,,26.666666666666668,-1.0,69.99485405815972,0.0,62.998846435546874,-1.0,20.5,-1.0,2.0,-1.0
39,,,69.0,-1.0,8.99933837890625,-1.0,18.499661254882813,-1.0,72.0,0.0,2.0,-1.0
40,,,22.666666666666668,1.0,60.4955524359809,-1.0,30.999432373046876,1.0,72.0,0.0,61.0,1.0
41,,,25.833333333333332,1.0,69.99485405815972,0.0,50.99906616210937,-1.0,72.0,0.0,0.5,-1.0
42,,,19.833333333333332,-1.0,60.4955524359809,-1.0,14.499734497070312,1.0,72.0,0.0,0.5,-1.0
43,,,20.166666666666668,-1.0,8.99933837890625,-1.0,57.99893798828125,-1.0,72.0,0.0,2.5,-1.0
44,,,46.166666666666664,-1.0,60.4955524359809,-1.0,11.499789428710937,-1.0,72.0,0.0,69.0,-1.0
45,,,95.83333333333333,0.0,69.99485405815972,0.0,11.499789428710937,-1.0,1.0,-1.0,38.5,1.0
46,,,3.1666666666666665,-1.0,69.99485405815972,0.0,34.999359130859375,-1.0,70.5,-1.0,30.0,-1.0
47,,,24.666666666666668,1.0,60.4955524359809,-1.0,32.999395751953124,-1.0,70.5,-1.0,30.0,-1.0
48,,,41.0,1.0,14.498934054904513,-1.0,34.499368286132814,-1.0,9.5,-1.0,23.0,-1.0
49,,,26.5,-1.0,69.99485405815972,0.0,33.99937744140625,-1.0,62.0,-1.0,31.5,-1.0
50,,,26.5,-1.0,54.99595675998263,-1.0,35.499349975585936,-1.0,62.0,-1.0,30.0,1.0
51,,,17.0,1.0,54.99595675998263,-1.0,35.499349975585936,-1.0,1.0,-1.0,9.5,-1.0
52,,,18.0,1.0,69.99485405815972,0.0,45.499166870117186,-1.0,31.0,1.0,9.5,-1.0
53,,,23.333333333333332,1.0,69.99485405815972,0.0,7.999853515625,-1.0,48.5,1.0,27.5,1.0
