,02_DMSO alltime,02_DMSO alltime,03_10um alltime,03_10um alltime,04_500um alltime,04_500um alltime,05_Control 30 min removed,05_Control 30 min removed,06_DMSO30 min removed,06_DMSO30 min removed,07_10um 30 min removed,07_10um 30 min removed,08_500um 30 min removal,08_500um 30 min removal,09_Control 2h removal,09_Control 2h removal,10_DMSO 2h removal,10_DMSO 2h removal,11_10um 2h removal,11_10um 2h removal,12_500um 2h removal,12_500um 2h removal,01_Control,01_Control
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
38,435,19.010156249104167,347,19.0198598784375,325,19.029034473104165,214,19.038379177104165,285,19.04813745977083,269,19.05824727577083,332,19.069020467770834,202,19.078766321104165,302,19.088408179770834,348,19.0979244144375,372,19.107462729104167,470,19.000156643770833
39,460,19.510181521104165,356,19.52073127310417,353,19.530291395770835,219,19.540402355770834,289,19.550059875770835,270,19.560663587770833,334,19.5707493744375,210,19.5807530464375,295,19.590476259770835,346,19.600929587770555,381,19.610434883770832,468,19.5001802464375
40,447,20.0099117504375,367,20.021225505104166,339,20.030374337104167,219,20.040131265104165,279,20.05032653443722,273,20.0598904064375,352,20.0696027184375,212,20.0794371824375,285,20.089694537104165,351,20.100492521104165,382,20.110070977104165,467,20.000194057104167
41,445,20.510714683770832,373,20.520571129104166,347,20.5301480224375,230,20.539654985104168,282,20.5495572624375,276,20.5595603424375,333,20.569940475770835,207,20.5795685824375,297,20.5891691584375,352,20.5988279984375,393,20.608425411770835,480,20.5001345504375
42,451,21.009676441104165,370,21.019464377104168,340,21.0292183904375,237,21.040070923770834,281,21.049829865104165,284,21.061337683770834,338,21.0707035664375,223,21.0816845024375,300,21.092032099770833,352,21.10200205177083,386,21.111707489104166,461,21.000127745104166
43,471,21.5097772304375,373,21.5209147344375,343,21.5305578064375,220,21.5402733824375,288,21.550586361104166,283,21.5602450944375,336,21.5695110464375,206,21.579054883770834,295,21.5894650864375,352,21.5992623984375,377,21.6102763584375,484,21.500116345104168
44,471,22.010871201104166,385,22.021703803770833,350,22.0307064864375,230,22.0399454224375,282,22.049492003770833,275,22.059182369104168,341,22.069255483770835,220,22.0795632544375,307,22.089278483770833,362,22.0996222944375,365,22.110785945104166,474,22.000131793104167
45,493,22.509808761104168,366,22.51935506510417,354,22.528776465104166,235,22.538496067770833,304,22.548003203770833,289,22.5576085664375,340,22.567117889104168,226,22.5772704144375,318,22.587174777104167,352,22.596232809104166,394,22.6049800384375,488,22.500093115770834
46,495,23.0099445424375,382,23.021094337104167,348,23.0299553184375,235,23.038855849104166,307,23.048091625104167,288,23.0573653184375,350,23.066441857104167,204,23.0760067344375,324,23.085581129104167,356,23.0962354304375,391,23.106786225104166,492,23.000109385104167
47,471,23.50983882777083,375,23.519187801104167,362,23.527818185104167,246,23.537026635770832,308,23.546266059770833,300,23.5557804144375,364,23.564594171770832,209,23.57410293977083,310,23.583322779770832,355,23.5922255664375,389,23.600726369104166,503,23.500078771770834
